time,emg1,emg2,label
1776066797.1522577,16,48,1
1776066797.1533728,16,48,1
1776066797.1543782,16,50,1
1776066797.157968,16,48,1
1776066797.160006,16,48,1
1776066797.1620367,16,48,1
1776066797.1620367,16,48,1
1776066797.1659572,18,46,1
1776066797.1683815,18,46,1
1776066797.1706083,18,44,1
1776066797.1726003,18,44,1
1776066797.1738815,18,44,1
1776066797.1758816,18,42,1
1776066797.1780572,18,42,1
1776066797.1801155,18,42,1
1776066797.188082,18,42,1
1776066797.1884418,18,44,1
1776066797.1894453,16,44,1
1776066797.1904454,16,46,1
1776066797.1904454,16,48,1
1776066797.1914449,14,52,1
1776066797.1934555,14,52,1
1776066797.1958125,14,54,1
1776066797.1978443,12,54,1
1776066797.1999457,14,54,1
1776066797.2043762,12,54,1
1776066797.2051344,12,54,1
1776066797.2062325,12,54,1
1776066797.207238,12,54,1
1776066797.2092485,12,54,1
1776066797.2115111,12,52,1
1776066797.2135391,12,52,1
1776066797.2155774,12,50,1
1776066797.218954,12,50,1
1776066797.2209241,12,50,1
1776066797.2220376,12,50,1
1776066797.2240667,12,52,1
1776066797.2260754,12,52,1
1776066797.2273123,12,52,1
1776066797.229334,12,52,1
1776066797.2314024,12,52,1
1776066797.2360275,12,52,1
1776066797.2370968,12,52,1
1776066797.2370968,12,50,1
1776066797.2396178,12,50,1
1776066797.2416553,12,50,1
1776066797.2438278,12,52,1
